#
# OntoWiki Chinese language translation
# Encoding:  UTF-8
# Separator: ;
#
Back;"返回"
Submit;"发送"
Cancel;"终止"
Save Changes;"保存更改"
Reset Form;"重置表单"
Edit Instances;"编辑实例"
Edit Properties;"编辑性质"
Add Property;"添加性质"
Rendered in %1$d microseconds using %2$d SPARQL queries.;"在 %1$d 微秒内发送了 %2$d 条SPARQL语句。"
more;"更多"

moments ago;"历史记录"
approx. 1 minute ago;"一分钟之前"
approx. %d minutes ago;"%d 分钟之前"
approx. 1 hour ago;"一小时之前"
approx. %d hours ago;"%d 小时之前"
approx. %d days ago;"%d 天之前"

# test
page1;"第1页"
page2;"第2页"


# Module
Search all Knowledge Bases;"在所有知识库中搜索"
Search Text;"搜索内容"
Knowledge Bases;"知识库"
Create Knowledge Base;"建立知识库"
Show Hidden Knowledge Bases;"显示隐藏的知识库"
Languages (Tagged Literals);"语言 (强调的标签)"
none;"无内容"
Classes;"类"
Create Class;"构造一个类"
Show Empty Classes;"显示空类"
Hide Empty Classes;"不显示空类"
Show System Classes;"显示系统类"
Hide System Classes;"不显示系统类"
Show Hidden Classes;"显示隐藏的类"
Hide Hidden Classes;"不显示隐藏的类"
Most Popular | Most Active;"最受欢迎 | 最活跃"
Rec. Changes;"更改"
Rec. Comments;"评论"
Login;"登陆"
No matches.;"未找到匹配内容."
Predicates;"谓词"
Similar Instances;"类似实例"
Instances Linking Here;"此处为实例联接"
Usage as Property;"作为一个性质使用"
Not implemented yet.;"尚未实现。"
Objects;"宾语"
Subjects;"主语"

# Komponenten
# TODO: sollten Komponenten ihre Übersetzung selbst verwalten?
Properties;"属性"
Instances;"实例"
Calendar;"日历"
History;"历史"
Map;"地图"

# application menu
User;"用户"
Register New User;"注册新用户"
Preferences;"设置"
Logout;"注销"
View;"显示"
Extras;"其他"
SPARQL Query Editor;"SPARQL语句编辑器"
File Resource Manager;"文件管理器"
News;"新闻"
Clear Cache;"清空缓存"
Help;"帮助"
Documentation;"帮助文档"
Bug Report;"错误报告"
Version Info;"版本信息"
About;"关于"

#Pager
First;"首页"
Previous;"上一页"
Next;"下一页"
Last;"末页"

Create New Knowledge Base;"建立新知识库"
Model URI;"模型-URI"
Create an Empty Knowledge Base;"建立一个空知识库"
Base URI;"Base URL"
Type;"类型"
Import From the Web;"加载自网络"
Upload a File;"上传文件"
File Type;"文件类型"
File (max. %1$sB);"文件 (最大. %1$sB)"
Paste Source;"粘贴原代码"
Source Code;"原代码"
Enter the URL where the model should be downloaded from. If you leave the field empty the model URI will be used.;"请输入模型文件的URL。如果未输入任何内容，系统将默认使用模型自己的URL。"
Location;"文件URL"
Instances of %1$s;"%1$s 的实例"
Properties of %1$s;"%1$s的属性"

Register User;"注册新用户"
Username;"用户名"
Email Address;"EMail地址"
Password;"密码"
Password (repeat);"密码 (请再次输入密码)"

Predefined namespaces;"之前的命名空间"
SPARQL Options;"SPARQL选项"
Plain;"无格式"
Submit Query;"发送语句"
result;"查询结果"
results;"查询结果"
Search returned %1$d %2$s.;"查询返回 %1$d %2$s。"
Query execution took %1$d ms.;"处理查询语句使用了 %1$d 微秒。"

# Menüs
View Resource;"显示资源"
Edit Resource;"编辑资源"
Delete Resource;"删除资源"

List Instances;"实例列表"
Create Instance;"建立实例"
Create Subclass;"构造子类"

Select Knowledge Base;"选择知识库"
Configure Knowledge Base;"配置知识库"
Add Data to Knowledge Base;"向知识库内添加数据"
Export Knowledge Base as RDF/XML;"以 RDF/XML 格式导出知识库"
Export Knowledge Base as RDF/JSON;"以 RDF/JSON 格式导出知识库"
Export Knowledge Base as RDF/N3;"以 RDF/N3 格式导出知识库"
Export Knowledge Base as RDF/JSON (Talis);"以 RDF/JSON (Talis) 格式导出知识库"
Export Knowledge Base as Turtle;"以 Turtle 格式导出知识库"
Delete Knowledge Base;"删除知识库"

# Wochentage
Monday;"周一"
Tuesday;"周二"
Wednesday;"周三"
Thursday;"周三"
Friday;"周五"
Saturday;"周六"
Sunday;"周日"

Add Class;"添加类"
Add Instance;"添加实例"

Show Properties;"显示属性"

Filter;"过滤"
Combine Filters (Conjunction);"联合过滤器 (逻辑与)"

Merge;"聚集"
Visit resource on the web;"在网络上搜索资源"

Create instances from property value by regexp;"通过性质的正则表达式建立实例"
Similar Instances;"类似实例"
Rating;"评价"
Average Rating;"平均评价"
Your Rating;"您的评价"
Instances Linking Here;"此处实例联接"
Usage as Property;"作为一个实例使用"
Instances;"实例"
Values;"评价"
Search | OntoWiki;"查找 | OntoWiki"
Search Text;"搜索内容"
Submit;"发送"
Search All Knowledge Bases;"搜索所有知识库"
Search;"搜索"
Add Property;"添加属性"
Submit Values;"发送评价"
SPARQL Query Editor;"SPARQL语句编辑器"
Result Options;"搜索结果选项"
Table;"表格"
SPARQL Query Results XML Format;"SPARQL查询结果XML格式"
Render Ressources as OntoWiki Links;"以OntoWiki联接发送资源"
Create New Knowledge Base;"建立新知识库"
FOAFSSL;"FOAF+SSL"
